employee_id,first_name,last_name,email,ssn,phone,department,hire_date,manager_id
E001,John,Smith,john.smith@company.com,123-45-6789,555-0101,Engineering,2020-01-15,M001
E002,Sarah,Johnson,sarah.j@company.com,234-56-7890,555-0102,Sales,2019-03-22,M002
E003,Michael,Brown,m.brown@company.com,345-67-8901,555-0103,HR,2021-06-10,M003
E004,Emily,Davis,emily.d@company.com,456-78-9012,555-0104,Engineering,2022-02-28,M001
E005,Robert,Wilson,r.wilson@company.com,567-89-0123,555-0105,Marketing,2020-11-05,M004
E006,Lisa,Anderson,l.anderson@company.com,678-90-1234,555-0106,Sales,2021-08-14,M002
E007,David,Taylor,d.taylor@company.com,789-01-2345,555-0107,HR,2019-12-03,M003
E008,Jennifer,Martin,j.martin@company.com,890-12-3456,555-0108,Engineering,2023-01-20,M001
E009,William,Garcia,w.garcia@company.com,901-23-4567,555-0109,Marketing,2022-05-17,M004
E010,Maria,Rodriguez,m.rodriguez@company.com,012-34-5678,555-0110,Finance,2020-09-08,M005
E011,Michael,Chen,m.chen@company.com,828-84-8128,525-2356,Legal,2020-03-01,
